Calendar_Year,State,School_Period_Type,School_Period_Name,Date
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-10
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-11
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-12
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-13
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-14
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-15
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-16
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-17
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-18
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-19
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-20
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-21
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-22
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-23
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-24
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-25
2010,ACT,Holiday,Term 1 Holidays (Autumn),2010-04-26
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-03
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-04
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-05
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-06
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-07
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-08
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-09
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-10
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-11
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-12
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-13
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-14
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-15
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-16
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-17
2010,ACT,Holiday,Term 2 Holidays (Winter),2010-07-18
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-09-25
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-09-26
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-09-27
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-09-28
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-09-29
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-09-30
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-01
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-02
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-03
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-04
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-05
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-06
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-07
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-08
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-09
2010,ACT,Holiday,Term 3 Holidays (Spring),2010-10-10
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-18
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-19
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-20
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-21
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-22
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-23
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-24
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-25
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-26
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-27
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-28
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-29
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-30
2010,ACT,Holiday,Term 4 Holidays (Summer),2010-12-31
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-01
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-02
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-03
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-04
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-05
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-06
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-07
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-08
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-09
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-10
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-11
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-12
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-13
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-14
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-15
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-16
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-17
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-18
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-19
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-20
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-21
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-22
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-23
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-24
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-25
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-26
2010,ACT,Holiday,Term 4 Holidays (Summer),2011-01-27
2011,ACT,Holiday,School Holiday 1,2011-04-16
2011,ACT,Holiday,School Holiday 1,2011-04-17
2011,ACT,Holiday,School Holiday 1,2011-04-18
2011,ACT,Holiday,School Holiday 1,2011-04-19
2011,ACT,Holiday,School Holiday 1,2011-04-20
2011,ACT,Holiday,School Holiday 1,2011-04-21
2011,ACT,Holiday,School Holiday 1,2011-04-22
2011,ACT,Holiday,School Holiday 1,2011-04-23
2011,ACT,Holiday,School Holiday 1,2011-04-24
2011,ACT,Holiday,School Holiday 1,2011-04-25
2011,ACT,Holiday,School Holiday 1,2011-04-26
2011,ACT,Holiday,School Holiday 1,2011-04-27
2011,ACT,Holiday,School Holiday 1,2011-04-28
2011,ACT,Holiday,School Holiday 1,2011-04-29
2011,ACT,Holiday,School Holiday 1,2011-04-30
2011,ACT,Holiday,School Holiday 1,2011-05-01
2011,ACT,Holiday,School Holiday 2,2011-07-09
2011,ACT,Holiday,School Holiday 2,2011-07-10
2011,ACT,Holiday,School Holiday 2,2011-07-11
2011,ACT,Holiday,School Holiday 2,2011-07-12
2011,ACT,Holiday,School Holiday 2,2011-07-13
2011,ACT,Holiday,School Holiday 2,2011-07-14
2011,ACT,Holiday,School Holiday 2,2011-07-15
2011,ACT,Holiday,School Holiday 2,2011-07-16
2011,ACT,Holiday,School Holiday 2,2011-07-17
2011,ACT,Holiday,School Holiday 2,2011-07-18
2011,ACT,Holiday,School Holiday 2,2011-07-19
2011,ACT,Holiday,School Holiday 2,2011-07-20
2011,ACT,Holiday,School Holiday 2,2011-07-21
2011,ACT,Holiday,School Holiday 2,2011-07-22
2011,ACT,Holiday,School Holiday 2,2011-07-23
2011,ACT,Holiday,School Holiday 2,2011-07-24
2011,ACT,Holiday,School Holiday 3,2011-10-01
2011,ACT,Holiday,School Holiday 3,2011-10-02
2011,ACT,Holiday,School Holiday 3,2011-10-03
2011,ACT,Holiday,School Holiday 3,2011-10-04
2011,ACT,Holiday,School Holiday 3,2011-10-05
2011,ACT,Holiday,School Holiday 3,2011-10-06
2011,ACT,Holiday,School Holiday 3,2011-10-07
2011,ACT,Holiday,School Holiday 3,2011-10-08
2011,ACT,Holiday,School Holiday 3,2011-10-09
2011,ACT,Holiday,School Holiday 3,2011-10-10
2011,ACT,Holiday,School Holiday 3,2011-10-11
2011,ACT,Holiday,School Holiday 3,2011-10-12
2011,ACT,Holiday,School Holiday 3,2011-10-13
2011,ACT,Holiday,School Holiday 3,2011-10-14
2011,ACT,Holiday,School Holiday 3,2011-10-15
2011,ACT,Holiday,School Holiday 3,2011-10-16
2011,ACT,Holiday,School Holiday 4,2011-12-22
2011,ACT,Holiday,School Holiday 4,2011-12-23
2011,ACT,Holiday,School Holiday 4,2011-12-24
2011,ACT,Holiday,School Holiday 4,2011-12-25
2011,ACT,Holiday,School Holiday 4,2011-12-26
2011,ACT,Holiday,School Holiday 4,2011-12-27
2011,ACT,Holiday,School Holiday 4,2011-12-28
2011,ACT,Holiday,School Holiday 4,2011-12-29
2011,ACT,Holiday,School Holiday 4,2011-12-30
2011,ACT,Holiday,School Holiday 4,2011-12-31
2011,ACT,Holiday,School Holiday 4,2012-01-01
2011,ACT,Holiday,School Holiday 4,2012-01-02
2011,ACT,Holiday,School Holiday 4,2012-01-03
2011,ACT,Holiday,School Holiday 4,2012-01-04
2011,ACT,Holiday,School Holiday 4,2012-01-05
2011,ACT,Holiday,School Holiday 4,2012-01-06
2011,ACT,Holiday,School Holiday 4,2012-01-07
2011,ACT,Holiday,School Holiday 4,2012-01-08
2011,ACT,Holiday,School Holiday 4,2012-01-09
2011,ACT,Holiday,School Holiday 4,2012-01-10
2011,ACT,Holiday,School Holiday 4,2012-01-11
2011,ACT,Holiday,School Holiday 4,2012-01-12
2011,ACT,Holiday,School Holiday 4,2012-01-13
2011,ACT,Holiday,School Holiday 4,2012-01-14
2011,ACT,Holiday,School Holiday 4,2012-01-15
2011,ACT,Holiday,School Holiday 4,2012-01-16
2011,ACT,Holiday,School Holiday 4,2012-01-17
2011,ACT,Holiday,School Holiday 4,2012-01-18
2011,ACT,Holiday,School Holiday 4,2012-01-19
2011,ACT,Holiday,School Holiday 4,2012-01-20
2011,ACT,Holiday,School Holiday 4,2012-01-21
2011,ACT,Holiday,School Holiday 4,2012-01-22
2011,ACT,Holiday,School Holiday 4,2012-01-23
2011,ACT,Holiday,School Holiday 4,2012-01-24
2011,ACT,Holiday,School Holiday 4,2012-01-25
2011,ACT,Holiday,School Holiday 4,2012-01-26
2011,ACT,Holiday,School Holiday 4,2012-01-27
2011,ACT,Holiday,School Holiday 4,2012-01-28
2011,ACT,Holiday,School Holiday 4,2012-01-29
2011,ACT,Holiday,School Holiday 4,2012-01-30
2011,ACT,Holiday,School Holiday 4,2012-01-31
2011,ACT,Holiday,School Holiday 4,2012-02-01
2011,ACT,Holiday,School Holiday 4,2012-02-02
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-14
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-15
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-16
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-17
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-18
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-19
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-20
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-21
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-22
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-23
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-24
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-25
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-26
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-27
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-28
2012,ACT,Holiday,Term 1 Holidays (Autumn),2012-04-29
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-07
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-08
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-09
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-10
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-11
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-12
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-13
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-14
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-15
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-16
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-17
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-18
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-19
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-20
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-21
2012,ACT,Holiday,Term 2 Holidays (Winter),2012-07-22
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-09-29
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-09-30
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-01
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-02
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-03
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-04
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-05
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-06
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-07
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-08
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-09
