DATE,STATE,HAS_PUB_HOL,PUBLIC_HOLIDAY_DESC,HAS_SCHOOL_HOL,SCHOOL_HOL_DESC,HAS_SPECIAL_DAY,SPECIAL_DAY_DESC
2010-01-01,ACT,True,New Year's Day,False,,False,
2010-01-02,ACT,False,,False,,False,
2010-01-03,ACT,False,,False,,False,
2010-01-04,ACT,False,,False,,False,
2010-01-05,ACT,False,,False,,False,
2010-01-06,ACT,False,,False,,False,
2010-01-07,ACT,False,,False,,False,
2010-01-08,ACT,False,,False,,False,
2010-01-09,ACT,False,,False,,False,
2010-01-10,ACT,False,,False,,False,
2010-01-11,ACT,False,,False,,False,
2010-01-12,ACT,False,,False,,False,
2010-01-13,ACT,False,,False,,False,
2010-01-14,ACT,False,,False,,False,
2010-01-15,ACT,False,,False,,False,
2010-01-16,ACT,False,,False,,False,
2010-01-17,ACT,False,,False,,False,
2010-01-18,ACT,False,,False,,False,
2010-01-19,ACT,False,,False,,False,
2010-01-20,ACT,False,,False,,False,
2010-01-21,ACT,False,,False,,False,
2010-01-22,ACT,False,,False,,False,
2010-01-23,ACT,False,,False,,False,
2010-01-24,ACT,False,,False,,False,
2010-01-25,ACT,False,,False,,False,
2010-01-26,ACT,True,Australia Day,False,,False,
2010-01-27,ACT,False,,False,,False,
2010-01-28,ACT,False,,False,,False,
2010-01-29,ACT,False,,False,,False,
2010-01-30,ACT,False,,False,,False,
2010-01-31,ACT,False,,False,,False,
2010-02-01,ACT,False,,False,,False,
2010-02-02,ACT,False,,False,,False,
2010-02-03,ACT,False,,False,,False,
2010-02-04,ACT,False,,False,,False,
2010-02-05,ACT,False,,False,,False,
2010-02-06,ACT,False,,False,,False,
2010-02-07,ACT,False,,False,,False,
2010-02-08,ACT,False,,False,,False,
2010-02-09,ACT,False,,False,,False,
2010-02-10,ACT,False,,False,,False,
2010-02-11,ACT,False,,False,,False,
2010-02-12,ACT,False,,False,,False,
2010-02-13,ACT,False,,False,,False,
2010-02-14,ACT,False,,False,,True,Valentines Day
2010-02-15,ACT,False,,False,,False,
2010-02-16,ACT,False,,False,,False,
2010-02-17,ACT,False,,False,,False,
2010-02-18,ACT,False,,False,,False,
2010-02-19,ACT,False,,False,,False,
2010-02-20,ACT,False,,False,,False,
2010-02-21,ACT,False,,False,,False,
2010-02-22,ACT,False,,False,,False,
2010-02-23,ACT,False,,False,,False,
2010-02-24,ACT,False,,False,,False,
2010-02-25,ACT,False,,False,,False,
2010-02-26,ACT,False,,False,,False,
2010-02-27,ACT,False,,False,,False,
2010-02-28,ACT,False,,False,,False,
2010-03-01,ACT,False,,False,,False,
2010-03-02,ACT,False,,False,,False,
2010-03-03,ACT,False,,False,,False,
2010-03-04,ACT,False,,False,,False,
2010-03-05,ACT,False,,False,,False,
2010-03-06,ACT,False,,False,,False,
2010-03-07,ACT,False,,False,,False,
2010-03-08,ACT,True,Canberra Day,False,,False,
2010-03-09,ACT,False,,False,,False,
2010-03-10,ACT,False,,False,,False,
2010-03-11,ACT,False,,False,,False,
2010-03-12,ACT,False,,False,,False,
2010-03-13,ACT,False,,False,,False,
2010-03-14,ACT,False,,False,,False,
2010-03-15,ACT,False,,False,,False,
2010-03-16,ACT,False,,False,,False,
2010-03-17,ACT,False,,False,,False,
2010-03-18,ACT,False,,False,,False,
2010-03-19,ACT,False,,False,,False,
2010-03-20,ACT,False,,False,,False,
2010-03-21,ACT,False,,False,,False,
2010-03-22,ACT,False,,False,,False,
2010-03-23,ACT,False,,False,,False,
2010-03-24,ACT,False,,False,,False,
2010-03-25,ACT,False,,False,,False,
2010-03-26,ACT,False,,False,,False,
2010-03-27,ACT,False,,False,,False,
2010-03-28,ACT,False,,False,,False,
2010-03-29,ACT,False,,False,,False,
2010-03-30,ACT,False,,False,,False,
2010-03-31,ACT,False,,False,,False,
2010-04-01,ACT,False,,False,,False,
2010-04-02,ACT,True,Good Friday,False,,False,
2010-04-03,ACT,True,Easter Eve,False,,False,
